"TIF Number","TIF District","Report Year","Tax Allocation Fund Balance","Property Tax Increment - Current","Property Tax Increment - Cumulative","Interest - Current","Interest - Cumulative","Land/Building - Current","Land/Building - Cumulative","Bond - Current","Bond - Cumulative","Note - Current","Note - Cumulative","Municipal - Current","Municipal - Cumulative","Revenue from Other Sources","Revenue from Private Sources","Private - Current","Cash Expenses","Distribution of Surplus","Transfers - Municipal","Total Expenditure","Net Income","Fund Balance","Description of Debt Obligations","Amount of Original Debt Issuance","Amount Designated - Debt Obligations","Descriptions of Project Costs to be Paid","Amount Designated - Project Costs","Surplus/Deficit"
"T-150","Addison South","2020","$7,504,978","$5,859,382","$39,859,027","$349,879","$1,289,941","$0","$0","$0","$0","$0","$0","$0","$0","$4,331","$0","$0","$0","$0","$0","$965,270","$5,243,991","$12,748,969",,"$0","$0","Restricted for future redevelopment project costs","$9,221,440","$3,527,529"
"T-151","Armitage/Pulaski","2020","$954,646","$201,353","$2,294,516","$33,788","$115,606","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$28,633","$206,508","$1,161,154",,"$0","$0","Restricted for future redevelopment project costs","$1,161,154","$0"
"T-152","Little Village Industrial Corridor","2020","$1,008,303","$132,896","$2,212,425","$30,698","$140,653","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$153,168","$10,426","$1,018,729",,"$0","$0","Restricted for future redevelopment project costs","$1,018,729","$0"
"T-153","Elston/Armstrong Industrial Corridor","2020","$2,149,559","$823,733","$5,297,477","$80,021","$194,284","$0","$0","$0","$0","$0","$0","$0","$0","$18,864","$0","$0","$0","$51,000","$0","$297,139","$606,615","$2,756,174",,"$0","$0","Restricted for future redevelopment project costs","$2,756,174","$0"
"T-155","79th/Vincennes","2020","$3,347,255","$325,229","$3,466,944","$109,164","$287,019","$0","$0","$0","$0","$0","$0","$0","$1,000,000","$0","$0","$0","$0","$0","$0","$157,966","$276,427","$3,623,682",,"$0","$0","Restricted for future redevelopment project costs","$3,623,682","$0"
"T-156","Austin Commercial","2020","$5,143,663","$1,342,679","$12,916,283","$183,141","$576,894","$0","$0","$0","$0","$0","$0","$0","$235,000","$0","$0","$0","$0","$0","$0","$426,350","$1,099,470","$6,243,133",,"$0","$0","Restricted for future redevelopment project costs","$6,243,133","$0"
"T-157","Hollywood/Sheridan","2020","$1,937,241","$689,437","$4,083,904","$85,327","$232,140","$0","$0","$0","$0","$0","$0","$28,011,956","$40,088,052","$0","$0","$0","$0","$284,000","$0","$28,437,723","$348,997","$2,286,238",,"$0","$0","Restricted for future redevelopment project costs","$2,286,238","$0"
"T-160","Kennedy/Kimball","2020","$1,583,878","$1,012,499","$3,149,173","$71,925","$127,843","$0","$0","$0","$0","$0","$0","$0","$0","$72,767","$0","$0","$0","$0","$0","$43,569","$1,040,855","$2,624,733",,"$0","$0","Restricted for future redevelopment project costs","$2,624,733","$0"
"T-161","Ogden/Pulaski","2020","$5,314,551","$58,659","$7,762,834","$169,614","$516,053","$0","$0","$0","$0","$0","$0","$115,500","$3,485,500","$0","$0","$0","$0","$0","$0","$250,246","$93,527","$5,408,078",,"$0","$0","Restricted for future redevelopment project costs","$5,408,078","$0"
"T-163","Archer/Western","2020","$2,936,339","$1,129,353","$3,328,056","$68,933","$143,129","$0","$0","$0","$0","$0","$0","$800,000","$2,200,000","$0","$0","$0","$0","$0","$0","$3,614,687","$-1,616,401","$1,319,938",,"$0","$0","Restricted for future redevelopment project costs","$1,319,938","$0"
"T-164","Little Village East","2020","$1,657,691","$95,841","$560,451","$49,944","$111,524","$0","$0","$0","$0","$0","$0","$0","$1,280,000","$0","$0","$0","$0","$0","$0","$266,787","$-121,002","$1,536,689",,"$0","$0","Restricted for future redevelopment project costs","$1,536,689","$0"
"T-166","North Pullman","2020","$3,630,723","$2,795,869","$9,919,237","$135,494","$302,338","$0","$0","$0","$0","$0","$0","$1,796,120","$18,476,284","$0","$0","$0","$0","$0","$0","$3,364,863","$1,362,620","$4,993,343",,"$0","$0","Restricted for future redevelopment project costs","$4,993,343","$0"
"T-167","Avondale","2020","$1,515,045","$197,020","$958,161","$49,326","$165,683","$0","$0","$0","$0","$0","$0","$0","$2,900,000","$0","$0","$0","$0","$0","$0","$346,992","$-100,646","$1,414,399",,"$0","$0","Restricted for future redevelopment project costs","$1,414,399","$0"
"T-169","Ewing Avenue","2020","$1,028,133","$271,437","$2,158,847","$36,712","$115,445","$0","$0","$0","$0","$0","$0","$0","$6,508,056","$0","$0","$0","$0","$0","$0","$6,575","$301,574","$1,329,707",,"$0","$0","Restricted for future redevelopment project costs","$1,329,707","$0"
"T-171","West Woodlawn","2020","$988,691","$-41","$96,730","$31,944","$69,513","$0","$0","$0","$0","$0","$0","$0","$2,300,000","$0","$0","$0","$0","$0","$0","$20,654","$11,249","$999,940",,"$0","$0","Restricted for future redevelopment project costs","$999,940","$0"
"T-172","Randolph/Wells","2020","$2,420,453","$16,166,063","$25,371,248","$354,108","$431,973","$0","$0","$0","$0","$0","$0","$0","$29,632,000","$205,770","$0","$0","$0","$62,000","$0","$209,313","$16,310,858","$18,731,311",,"$0","$0","Restricted for future redevelopment project costs","$5,617,865","$13,113,446"
"T-173","Montrose/Clarendon","2020","$1,314,309","$1,215,515","$2,500,211","$63,919","$130,257","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$50,000","$0","$89,280","$1,190,154","$2,504,463",,"$0","$0","Restricted for future redevelopment project costs","$2,504,463","$0"
"T-174","67th/Wentworth","2020","$1,069,947","$0","$0","$32,094","$75,543","$0","$0","$0","$0","$0","$0","$0","$1,175,000","$0","$0","$0","$0","$0","$0","$34,459","$-2,365","$1,067,582",,"$0","$0","Restricted for future redevelopment project costs","$1,067,582","$0"
"T-175","51st/Lake Park","2020","$1,310,375","$1,270,706","$3,910,955","$42,147","$86,723","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$1,197,475","$115,378","$1,425,753",,"$0","$0","Restricted for future redevelopment project costs","$1,425,753","$0"
"T-176","107th/Halsted","2020","$2,810,368","$290,089","$2,257,741","$92,966","$225,138","$0","$0","$0","$0","$0","$0","$0","$1,000,000","$0","$0","$0","$0","$0","$0","$62,438","$320,617","$3,130,985",,"$0","$0","Restricted for future redevelopment project costs","$3,130,985","$0"
"T-177","Foster/California","2020","$706,371","$-12,947","$694,400","$23,924","$47,806","$0","$0","$0","$0","$0","$0","$1,100,000","$6,744,830","$0","$0","$0","$0","$0","$0","$1,125,441","$-14,464","$691,907",,"$0","$0","Restricted for future redevelopment project costs","$691,907","$0"
"T-178","Washington Park","2020","$3,047,783","$1,338,785","$4,005,260","$115,082","$212,743","$0","$0","$0","$0","$0","$0","$0","$6,650,000","$0","$0","$0","$0","$0","$0","$518,862","$935,005","$3,982,788",,"$0","$0","Restricted for future redevelopment project costs","$3,982,788","$0"
"T-179","Diversey/Chicago River","2020","$297,137","$348,871","$448,038","$17,998","$25,070","$0","$0","$0","$0","$0","$0","$0","$526,000","$0","$0","$0","$0","$0","$0","$7,289","$359,580","$656,717",,"$0","$0","Restricted for future redevelopment project costs","$656,717","$0"
"T-180","Red Purple Modernization Phase One (Transit TIF)","2020","$71,128,072","$48,371,096","$118,922,177","$697,756","$2,130,516","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$110,169,265","$110,751,621","$-61,682,769","$9,445,303",,"$0","$0","Restricted for future redevelopment project costs","$9,445,303","$0"
"T-181","Foster/Edens","2020","$476,057","$512,657","$990,491","$26,969","$31,409","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$9,361","$530,265","$1,006,322",,"$0","$0","Restricted for future redevelopment project costs","$1,006,322","$0"
"T-182","116th/Avenue O","2020","$14,607","$15,433","$31,449","$743","$910","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$6,408","$9,768","$24,375",,"$0","$0","Restricted for future redevelopment project costs","$24,375","$0"
"T-183","Cortland/Chicago River","2020","$0","$3,639,892","$3,639,892","$79,717","$79,717","$0","$0","$0","$0","$0","$0","$100,000","$100,000","$0","$0","$0","$0","$0","$0","$92,083","$3,727,526","$3,727,526",,"$0","$0","Restricted for future redevelopment project costs","$3,727,526","$0"
"T-184","Roosevelt/Clark","2020","$0","$1,522,041","$1,522,041","$90,338","$90,338","$0","$0","$0","$0","$0","$0","$2,450,000","$2,450,000","$0","$0","$0","$0","$0","$0","$75,746","$3,986,633","$3,986,633",,"$0","$0","Restricted for future redevelopment project costs","$3,986,633","$0"
"T-001","35th/Halsted","2021","$38,919,509","$12,726,077","$104,836,939","$44,912","$5,854,708","$0","$0","$0","$0","$0","$0","$0","$3,243,618","$0","$0","$0","$16,458,755","$0","$5,770,000","$22,228,755","$-9,457,766","$29,461,743","0","$0","$0","Restricted for future redevelopment project costs","$22,063,343","$7,398,400"
"T-009","95th/Western","2021","$1,955,761","$1,805,730","$19,022,060","$-15,417","$522,687","$0","$0","$0","$0","$0","$0","$0","$2,400,000","$2,648,627","$0","$0","$388,707","$0","$0","$388,707","$1,401,606","$3,357,367","0","$0","$0","Restricted for future redevelopment project costs","$3,357,367","$0"
"T-013","Bryn Mawr/Broadway","2021","$5,887,656","$3,413,223","$36,434,537","$18,426","$1,309,137","$0","$0","$0","$0","$0","$0","$15,289,335","$45,567,202","$1,800,389","$0","$0","$15,722,021","$3,124,244","$0","$18,846,265","$-125,281","$5,762,375","0","$0","$0","Restricted for future redevelopment project costs","$5,762,375","$0"
"T-021","Englewood Mall","2021","$5,744,682","$547,652","$12,485,152","$5,428","$1,503,351","$0","$0","$0","$0","$0","$0","$0","$7,545,883","$3,688","$0","$0","$152,036","$0","$0","$152,036","$401,044","$6,145,726","0","$0","$0","Restricted for future redevelopment project costs","$6,145,726","$0"
"T-023","Goose Island","2021","$14,621,158","$8,250,743","$86,560,946","$190,429","$2,449,404","$0","$0","$0","$16,800,000","$0","$0","$21,000,000","$31,000,000","$0","$0","$0","$707,256","$9,367,052","$0","$10,074,308","$19,373,341","$33,994,499","0","$0","$0","Restricted for future redevelopment project costs","$29,024,199","$4,970,300"
"T-024","Homan/Arthington","2021","$2,752,888","$760,059","$11,509,822","$-3,410","$557,391","$0","$0","$0","$0","$0","$0","$0","$1,062,798","$0","$0","$0","$105,427","$366,918","$0","$472,345","$284,304","$3,037,192","0","$0","$0","Restricted for future redevelopment project costs","$3,037,192","$0"
"T-029","Michigan/Cermak","2021","$6,626,986","$3,702,629","$25,233,936","$-37,072","$1,252,428","$0","$0","$0","$0","$0","$0","$0","$13,810,000","$548,020","$0","$0","$125,209","$4,412,537","$0","$4,537,746","$-872,189","$5,754,797","0","$0","$0","Restricted for future redevelopment project costs","$5,754,797","$0"
"T-030","Near North","2021","$139,415,438","$38,267,614","$397,610,759","$-1,073,286","$11,459,768","$0","$0","$0","$55,000,000","$0","$0","$0","$3,546,644","$331,143","$0","$0","$7,814,548","$68,858,463","$0","$76,673,011","$-39,458,028","$99,957,410","0","$0","$0","Restricted for future redevelopment project costs","$99,957,410","$0"
"T-033","North Branch North","2021","$51,049,219","$8,794,749","$94,352,245","$119,426","$3,990,431","$0","$0","$0","$0","$0","$0","$0","$16,180,604","$1,936","$0","$0","$5,399,153","$1,852,167","$52,712,074","$59,963,394","$-51,049,219","$0","0","$0","$0",,"$0","$0"
"T-034","North Branch South","2021","$46,658,692","$9,269,915","$131,516,711","$-187,894","$4,729,984","$0","$0","$0","$0","$0","$0","$0","$2,500,000",,"$0","$0","$276,650","$0","$29,600,000","$29,876,650","$-20,794,629","$25,864,063","0","$0","$0","Restricted for future redevelopment project costs","$22,502,263","$3,361,800"
"T-035","North/Cicero","2021","$9,859,420","$1,961,380","$24,735,630","$18,581","$820,092","$0","$0","$0","$0","$0","$0","$0","$0",,"$0","$0","$122,075","$485,868","$11,231,438","$11,839,381","$-9,859,420","$0","0","$0","$0",,"$0","$0"
"T-037","River South","2021","$80,135,842","$22,002,244","$307,039,204","$-76,373","$13,744,693","$0","$2,629,408","$0","$0","$0","$0","$0","$102,373,006","$853,555","$0","$0","$11,982,153","$39,449,074","$51,075,247","$102,506,474","$-80,135,842","$0","0","$0","$0",,"$0","$0"
"T-038","Roosevelt/Cicero Industrial Corridor","2021","$16,972,600","$5,171,116","$49,881,674","$24,190","$1,735,185","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$1,614,200","$441,388","$0","$2,055,588","$3,140,065","$20,112,665","0","$0","$0","Restricted for future redevelopment project costs","$20,112,665","$0"
"T-042","Sanitary and Ship Canal","2021","$2,255,525","$1,246,684","$19,046,176","$3,094","$401,239","$0","$0","$0","$5,530,000","$0","$0","$0","$0",,"$0","$0","$619,643","$0","$0","$619,643","$630,135","$2,885,660","0","$0","$0","Restricted for future redevelopment project costs","$2,885,660","$0"
"T-045","Stockyards Southeast Quadrant Industrial","2021","$8,717,462","$2,321,841","$46,529,365","$9,556","$1,866,795","$0","$0","$0","$30,400,000","$0","$0","$0","$3,675,608","$94,635","$0","$0","$464,375","$186,363","$0","$650,738","$1,680,659","$10,398,121","0","$0","$0","Restricted for future redevelopment project costs","$10,398,121","$0"
"T-048","Western/Ogden","2021","$26,969,735","$14,782,600","$140,119,409","$100,018","$3,523,281","$0","$0","$0","$0","$0","$0","$0","$0","$443,508","$0","$0","$2,266,766","$0","$0","$2,266,766","$12,615,852","$39,585,587","0","$0","$0","Restricted for future redevelopment project costs","$39,585,587","$0"
"T-052","Kinzie Industrial Corridor","2021","$169,833,503","$73,894,401","$498,424,034","$389,208","$15,264,344","$0","$0","$0","$0","$0","$0","$0","$0","$1,136,624","$0","$0","$16,600,391","$2,911,943","$10,136,857","$29,649,191","$44,634,418","$214,467,921","0","$0","$0","Restricted for future redevelopment project costs","$214,467,921","$0"
"T-053","Pilsen Industrial Corridor","2021","$48,796,787","$25,623,906","$230,123,633","$-15,582","$11,524,590","$0","$983,239","$0","$84,922,130","$0","$0","$0","$0","$2,354","$0","$0","$9,913,511","$0","$0","$9,913,511","$15,694,815","$64,491,602","0","$33,410,000","$7,877,125","Restricted for future redevelopment project costs","$56,614,477","$0"
"T-054","Stony Island Commercial/Burnside Industrial","2021","$7,743,462","$5,567,551","$55,278,740","$20,788","$1,225,654","$0","$0","$0","$0","$0","$0","$0","$0","$1,000,000","$0","$0","$1,426,710","$0","$2,000,000","$3,426,710","$2,161,629","$9,905,091","0","$0","$0","Restricted for future redevelopment project costs","$9,905,091","$0"
"T-055","43rd/Cottage Grove","2021","$11,304,024","$4,668,986","$49,001,162","$8,869","$1,642,248","$0","$0","$0","$0","$0","$0","$0","$0",,"$0","$0","$1,991,726","$0","$0","$1,991,726","$2,686,129","$13,990,153","0","$0","$0","Restricted for future redevelopment project costs","$13,990,153","$0"
"T-056","79th Street Corridor","2021","$6,747,829","$1,275,909","$15,428,717","$10,739","$838,266","$0","$0","$0","$0","$0","$0","$0","$0","$10,964","$0","$0","$340,260","$0","$0","$340,260","$946,388","$7,694,217","0","$0","$0","Restricted for future redevelopment project costs","$7,694,217","$0"
"T-057","Jefferson Park","2021","$4,828,490","$1,978,856","$17,559,105","$17,357","$702,837","$0","$0","$0","$0","$0","$0","$0","$3,353,000","$790,000","$0","$0","$835,735","$0","$0","$835,735","$1,160,478","$5,988,968","0","$0","$0","Restricted for future redevelopment project costs","$5,988,968","$0"
"T-058","Portage Park","2021","$11,959,510","$4,181,740","$48,595,912","$-30,651","$1,677,211","$0","$0","$0","$0","$0","$0","$0","$1,000,000","$1,415,000","$0","$0","$516,502","$3,758,528","$0","$4,275,030","$-123,941","$11,835,569","0","$0","$0","Restricted for future redevelopment project costs","$11,835,569","$0"
"T-060","71st/Stony Island","2021","$8,513,871","$4,587,897","$56,917,601","$732","$8,423,764","$0","$301","$0","$64,765,895","$0","$0","$0","$65,288,397",,"$0","$0","$2,600,797","$0","$0","$2,600,797","$1,987,832","$10,501,703","0","$0","$0","Restricted for future redevelopment project costs","$10,501,703","$0"
"T-061","Bronzeville","2021","$34,522,353","$6,126,309","$72,695,768","$33,660","$3,400,950","$0","$0","$0","$0","$0","$0","$0","$10,400,000","$1,000,000","$0","$0","$1,891,183","$0","$0","$1,891,183","$4,269,987","$38,792,340","0","$0","$0","Restricted for future redevelopment project costs","$38,792,340","$0"
"T-062","Roosevelt/Racine","2021","$7,097,218","$2,737,529","$26,531,943","$1,531","$813,164","$0","$0","$0","$0","$0","$0","$0","$11,350,000","$12,213","$0","$0","$1,716,359","$150,415","$0","$1,866,774","$872,286","$7,969,504","0","$0","$0","Restricted for future redevelopment project costs","$7,969,504","$0"
"T-063","Canal/Congress","2021","$76,742,941","$45,858,015","$418,847,604","$88,268","$7,610,002","$0","$0","$0","$0","$0","$0","$0","$10,966,931","$468,653","$0","$0","$5,700,685","$16,287,960","$0","$21,988,645","$23,961,435","$100,704,376","0","$0","$0","Restricted for future redevelopment project costs","$68,422,276","$32,282,100"
"T-064","Northwest Industrial Corridor","2021","$24,986,223","$11,669,624","$125,348,953","$76,299","$3,065,195","$0","$0","$8,231,438","$8,231,438","$0","$0","$0","$521,583","$25,000","$0","$0","$3,002,714","$0","$0","$3,002,714","$16,974,647","$41,960,870","0","$0","$0","Restricted for future redevelopment project costs","$41,960,870","$0"
"T-065","Woodlawn","2021","$15,617,384","$4,922,348","$54,138,124","$36,670","$1,856,306","$0","$0","$0","$0","$0","$0","$0","$0","$1,000,000","$0","$0","$720,366","$0","$0","$720,366","$4,238,652","$19,856,036","0","$0","$0","Restricted for future redevelopment project costs","$19,856,036","$0"
"T-066","Greater Southwest Industrial (East)","2021","$4,206,805","$1,435,461","$15,905,206","$-1,145","$417,268","$0","$0","$0","$0","$0","$0","$0","$0",,"$0","$0","$902,280","$0","$0","$902,280","$532,036","$4,738,841","0","$0","$0","Restricted for future redevelopment project costs","$4,738,841","$0"
"T-067","Archer Courts","2021","$2,221,173","$492,798","$6,820,884","$-2,622","$281,747","$0","$0","$0","$0","$0","$0","$0","$2,235,487",,"$0","$0","$119,191","$317,703","$0","$436,894","$53,282","$2,274,455","0","$0","$0","Restricted for future redevelopment project costs","$2,274,455","$0"
"T-068","Roosevelt/Union","2021","$8,711,245","$6,975,000","$79,822,075","$-38,375","$797,344","$0","$0","$0","$0","$0","$0","$0","$0",,"$0","$0","$6,204,097","$0","$0","$6,204,097","$732,528","$9,443,773","0","$0","$0","Restricted for future redevelopment project costs","$9,443,773","$0"
"T-069","Pulaski Industrial Corridor","2021","$18,857,464","$6,972,796","$62,551,252","$38,534","$1,892,444","$0","$380,000","$0","$0","$0","$0","$0","$3,000,000","$1,707,971","$0","$0","$2,166,522","$0","$0","$2,166,522","$4,844,808","$23,702,272","0","$0","$0","Restricted for future redevelopment project costs","$23,702,272","$0"
"T-070","Clark/Montrose","2021","$11,593,906","$5,100,137","$48,557,004","$-31,895","$1,327,706","$0","$0","$0","$0","$0","$0","$0","$2,000,000","$1,265,682","$0","$0","$2,934,235","$3,258,308","$0","$6,192,543","$-1,124,301","$10,469,605","0","$0","$0","Restricted for future redevelopment project costs","$10,469,605","$0"
"T-071","Galewood/Armitage Industrial","2021","$11,141,753","$5,567,408","$52,950,825","$38,198","$2,453,213","$0","$0","$0","$37,992,034","$0","$0","$0","$26,197,449","$858,980","$0","$0","$2,109,279","$0","$0","$2,109,279","$3,665,095","$14,806,848","0","$35,305,000","$4,178,644","Restricted for future redevelopment project costs","$10,628,204","$0"
"T-072","24th/Michigan","2021","$41,255,001","$5,417,112","$32,844,784","$-198,228","$3,032,509","$0","$0","$0","$0","$0","$0","$0","$153,861,677","$16,760","$0","$0","$9,901,739","$10,563,973","$0","$20,465,712","$-15,223,378","$26,031,623","0","$0","$0","Restricted for future redevelopment project costs","$26,031,623","$0"
"T-073","111th/Kedzie","2021","$1,801,200","$957,051","$11,408,223","$3,362","$195,958","$0","$0","$0","$0","$0","$0","$0","$0","$511,979","$0","$0","$400,454","$0","$0","$400,454","$559,959","$2,361,159","0","$0","$0","Restricted for future redevelopment project costs","$2,361,159","$0"
"T-074","Clark/Ridge","2021","$9,880,585","$3,842,896","$38,638,541","$21,397","$1,122,953","$0","$0","$0","$0","$0","$0","$0","$3,000,000","$6,682","$0","$0","$1,261,426","$0","$0","$1,261,426","$2,602,867","$12,483,452","0","$0","$0","Restricted for future redevelopment project costs","$10,966,652","$1,516,800"
"T-075","Madison/Austin Corridor","2021","$7,697,376","$3,358,133","$36,290,747","$29,284","$3,169,515","$0","$0","$0","$49,797,777","$0","$0","$0","$64,687,897","$865,000","$0","$0","$158,256","$0","$0","$158,256","$3,229,161","$10,926,537","0","$0","$0","Restricted for future redevelopment project costs","$10,926,537","$0"
"T-076","Devon/Western","2021","$5,164,721","$4,271,548","$48,287,388","$20,422","$820,529","$0","$0","$0","$0","$0","$0","$0","$5,140,000","$3,692","$0","$0","$980,058","$0","$3,076,677","$4,056,735","$235,235","$5,399,956","0","$0","$0","Restricted for future redevelopment project costs","$5,399,956","$0"
"T-077","Lincoln Avenue","2021","$7,905,485","$4,011,804","$52,416,654","$7,847","$4,067,278","$0","$0","$0","$29,841,980","$0","$0","$0","$22,342,064",,"$0","$0","$900,389","$1,464,045","$0","$2,364,434","$1,655,217","$9,560,702","0","$0","$0","Restricted for future redevelopment project costs","$9,560,702","$0"
"T-079","35th/Wallace","2021","$12,659,147","$1,696,617","$13,957,715","$15,419","$887,694","$0","$0","$0","$0","$0","$0","$0","$4,500,000",,"$0","$0","$454,618","$0","$0","$454,618","$1,257,418","$13,916,565","0","$0","$0","Restricted for future redevelopment project costs","$13,916,565","$0"
"T-081","Belmont/Central","2021","$23,226,421","$5,750,797","$61,661,815","$42,052","$2,132,555","$0","$0","$0","$0","$0","$0","$0","$938","$805,000","$0","$0","$1,068,022","$0","$0","$1,068,022","$4,724,827","$27,951,248","0","$0","$0","Restricted for future redevelopment project costs","$27,951,248","$0"
"T-082","Belmont/Cicero","2021","$5,914,128","$1,341,708","$21,156,757","$11,186","$647,087","$0","$0","$0","$0","$0","$0","$0","$0","$789","$0","$0","$46,749","$58,296","$0","$105,045","$1,251,094","$7,165,222","0","$0","$0","Restricted for future redevelopment project costs","$6,034,222","$1,131,000"
"T-083","West Irving Park","2021","$5,146,428","$1,516,622","$18,802,011","$14,129","$747,031","$0","$0","$0","$0","$0","$0","$0","$2,500,000","$0","$0","$0","$206,084","$0","$0","$206,084","$1,324,667","$6,471,095","0","$0","$0","Restricted for future redevelopment project costs","$6,471,095","$0"
"T-084","Western Avenue North","2021","$18,214,957","$11,612,496","$107,926,044","$91,736","$2,176,617","$0","$0","$0","$0","$0","$0","$0","$2,250,000","$1,008,826","$0","$0","$1,460,709","$0","$0","$1,460,709","$10,243,523","$28,458,480","0","$0","$0","Restricted for future redevelopment project costs","$28,458,480","$0"
"T-085","Western Avenue South","2021","$38,969,127","$12,468,247","$124,406,353","$-109,270","$3,458,601","$0","$0","$0","$0","$0","$0","$0","$250,000","$3,003,500","$0","$0","$3,541,081","$10,149,242","$0","$13,690,323","$-1,330,894","$37,638,233","0","$0","$0","Restricted for future redevelopment project costs","$37,638,233","$0"
"T-086","Central West","2021","$55,140,132","$34,225,840","$311,694,510","$-625","$10,265,089","$0","$563,393","$0","$32,332,846","$0","$0","$0","$70,617,714","$1,572","$0","$0","$3,773,420","$15,531,407","$0","$19,304,827","$14,920,388","$70,060,520","0","$0","$0","Restricted for future redevelopment project costs","$47,470,320","$22,590,200"
"T-087","Fullerton/Milwaukee","2021","$29,909,320","$15,542,246","$131,962,492","$124,272","$4,384,749","$0","$0","$0","$35,769,001","$0","$0","$0","$52,044","$1,857,244","$0","$0","$1,859,167","$0","$0","$1,859,167","$13,929,162","$43,838,482","0","$33,225,000","$2,337,022","Restricted for future redevelopment project costs","$41,501,460","$0"
"T-088","Lawrence/Kedzie","2021","$17,179,262","$9,395,519","$124,301,328","$58,348","$4,006,785","$0","$0","$0","$56,303,811","$0","$0","$0","$3,500,000","$1,000,000","$0","$0","$4,471,509","$1,623,019","$0","$6,094,528","$3,361,169","$20,540,431","0","$39,580,000","$3,966,750","Restricted for future redevelopment project costs","$16,573,681","$0"
"T-089","Midway Industrial Corridor","2021","$3,747,776","$4,815,822","$44,970,134","$29,426","$868,624","$0","$0","$0","$0","$0","$0","$0","$0","$12,917","$0","$0","$321,095","$0","$0","$321,095","$4,524,153","$8,271,929","0","$0","$0","Restricted for future redevelopment project costs","$8,271,929","$0"
"T-090","Peterson/Cicero","2021","$1,580,019","$649,073","$6,938,861","$5,221","$255,664","$0","$0","$0","$0","$0","$0","$0","$0",,"$0","$0","$94,127","$0","$0","$94,127","$560,167","$2,140,186","0","$0","$0","Restricted for future redevelopment project costs","$813,486","$1,326,700"
"T-091","Peterson/Pulaski","2021","$6,700,117","$2,093,295","$17,959,561","$-33,272","$847,903","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$684,083","$2,080,899","$0","$2,764,982","$-704,959","$5,995,158","0","$0","$0","Restricted for future redevelopment project costs","$5,615,158","$380,000"
"T-092","Greater Southwest Industrial (West)","2021","$6,869,018","$230,769","$14,458,711","$3,791","$881,054","$0","$0","$0","$0","$0","$0","$0","$976,540","$76,096","$0","$0","$103,169","$0","$0","$103,169","$131,391","$7,000,409","0","$0","$0","Restricted for future redevelopment project costs","$7,000,409","$0"
"T-093","South Chicago","2021","$6,615,686","$1,437,995","$21,186,775","$1,940","$913,876","$0","$0","$0","$0","$0","$0","$0","$0","$1,200,000","$0","$0","$318,273","$0","$0","$318,273","$1,121,662","$7,737,348","0","$0","$0","Restricted for future redevelopment project costs","$7,737,348","$0"
"T-094","Chicago/Kingsbury","2021","$29,182,089","$37,902,378","$342,363,963","$-133,063","$4,931,834","$0","$0","$0","$0","$0","$0","$0","$0","$15,265","$0","$0","$480,025","$33,845,864","$0","$34,325,889","$3,443,426","$32,625,515","0","$0","$0","Restricted for future redevelopment project costs","$-3,316,169","$35,941,684"
"T-095","Midwest","2021","$42,629,086","$17,680,197","$242,989,452","$149,514","$8,801,144","$0","$0","$0","$30,373,738","$0","$0","$5,100,000","$17,354,510","$4,924,000","$0","$0","$5,625,506","$0","$800,000","$6,425,506","$16,504,205","$59,133,291","0","$0","$0","Restricted for future redevelopment project costs","$59,133,291","$0"
"T-096","Cicero/Archer","2021","$6,664,700","$912,715","$13,759,841","$-32,638","$698,073","$0","$0","$0","$0","$0","$0","$0","$0","$1,626","$0","$0","$201,932","$2,093,727","$0","$2,295,659","$-1,415,582","$5,249,118","0","$0","$0","Restricted for future redevelopment project costs","$5,249,118","$0"
"T-097","51st/Archer","2021","$5,087,838","$2,363,909","$14,768,156","$23,223","$3,488,058","$0","$0","$0","$40,099,669","$0","$0","$1,656,159","$50,019,353","$280,650","$0","$0","$1,058,459","$0","$0","$1,058,459","$3,031,351","$8,119,189","0","$37,915,000","$879,860","Restricted for future redevelopment project costs","$7,239,329","$0"
"T-098","63rd/Pulaski","2021","$4,699,806","$2,340,139","$36,131,448","$12,761","$800,017","$0","$0","$0","$0","$0","$0","$0","$0",,"$0","$0","$321,832","$0","$1,656,159","$1,977,991","$374,909","$5,074,715","0","$0","$0","Restricted for future redevelopment project costs","$5,074,715","$0"
"T-099","Archer/Central","2021","$2,790,045","$700,160","$11,145,738","$5,875","$324,339","$0","$0","$0","$0","$0","$0","$0","$240,000","$0","$0","$0","$471,534","$1,946","$0","$473,480","$232,555","$3,022,600","0","$0","$0","Restricted for future redevelopment project costs","$3,022,600","$0"
