"TIF Number","TIF District","Report Year","Tax Allocation Fund Balance","Property Tax Increment - Current","Property Tax Increment - Cumulative","Interest - Current","Interest - Cumulative","Land/Building - Current","Land/Building - Cumulative","Bond - Current","Bond - Cumulative","Note - Current","Note - Cumulative","Municipal - Current","Municipal - Cumulative","Revenue from Other Sources","Revenue from Private Sources","Private - Current","Cash Expenses","Distribution of Surplus","Transfers - Municipal","Total Expenditure","Net Income","Fund Balance","Description of Debt Obligations","Amount of Original Debt Issuance","Amount Designated - Debt Obligations","Descriptions of Project Costs to be Paid","Amount Designated - Project Costs","Surplus/Deficit"
"T-065","Woodlawn","2017","$12,360,533","$3,028,018","$37,807,232","$191,908","$590,930","$0","$0","$0","$0","$0","$1,000,000","$0","$0","$0","$0","$0","$1,007,794","$0","$1,851,069","$2,858,863","$361,063","$12,721,596",,"$0","$0","Restricted for future redevelopment project costs","$12,721,596","$0"
"T-066","Greater Southwest Industrial (East)","2017","$2,376,519","$724,311","$10,842,867","$38,038","$124,207","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$95,365","$77,000","$0","$172,365","$589,984","$2,966,503",,"$0","$0","Restricted for future redevelopment project costs","$2,890,403","$76,100"
"T-067","Archer Courts","2017","$1,529,901","$408,240","$4,982,319","$21,468","$119,574","$0","$0","$0","$0","$0","$0","$0","$2,235,487","$0","$0","$0","$152,668","$126,000","$0","$278,668","$151,040","$1,680,941",,"$0","$0","Restricted for future redevelopment project costs","$1,506,241","$174,700"
"T-068","Roosevelt/Union","2017","$1,652,260","$5,596,706","$55,376,825","$62,760","$300,530","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$97,302","$0","$0","$97,302","$5,562,164","$7,214,424",,"$0","$0","Restricted for future redevelopment project costs","$7,214,424","$0"
"T-069","Pulaski Industrial Corridor","2017","$9,285,101","$3,352,064","$41,042,201","$118,833","$606,032","$0","$380,000","$0","$0","$0","$1,685,250","$0","$3,000,000","$0","$0","$0","$114,312","$0","$728,076","$842,388","$2,628,509","$11,913,610",,"$0","$0","Restricted for future redevelopment project costs","$11,913,610","$0"
"T-070","Clark/Montrose","2017","$10,173,149","$3,247,710","$31,328,219","$132,630","$437,625","$0","$0","$0","$0","$0","$1,265,682","$0","$2,000,000","$0","$0","$0","$1,209,305","$969,000","$0","$2,178,305","$1,202,035","$11,375,184",,"$0","$0","Restricted for future redevelopment project costs","$8,450,084","$2,925,100"
"T-071","Galewood/Armitage Industrial","2017","$15,457,229","$2,966,684","$34,093,372","$265,284","$1,375,225","$0","$0","$0","$37,992,034","$0","$0","$2,059,692","$18,137,755","$0","$0","$0","$8,252,127","$0","$1,731","$8,253,858","$-2,828,092","$12,629,137","Restricted for debt service","$6,420,000","$3,693,495","Restricted for future redevelopment project costs","$8,935,642","$0"
"T-072","24th/Michigan","2017","$11,885,717","$1,706,116","$14,620,282","$124,882","$548,585","$0","$0","$0","$0","$0","$0","$4,310,000","$136,861,677","$0","$0","$0","$5,075,582","$0","$0","$5,075,582","$1,065,416","$12,951,133",,"$0","$0","Restricted for future redevelopment project costs","$12,951,133","$0"
"T-073","111th/Kedzie","2017","$1,761,808","$550,035","$7,876,445","$21,751","$104,108","$0","$0","$0","$0","$0","$500,000","$0","$0","$0","$0","$0","$370,739","$34,400","$500,000","$905,139","$-333,353","$1,428,455",,"$0","$0","Restricted for future redevelopment project costs","$1,376,055","$52,400"
"T-074","Clark/Ridge","2017","$6,907,508","$1,913,019","$26,471,613","$89,045","$360,995","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$840,657","$0","$0","$840,657","$1,161,407","$8,068,915",,"$0","$0","Restricted for future redevelopment project costs","$7,296,515","$772,400"
